dataset,family,rep,n,d,true_k,method,k_hat,runtime,n_tests,k_init,conf_lo,conf_hi,sep_evidence,p_median,ARI,AMI,NMI
sep_k3_d2,sep,16,800,2,3,CDK knn+2ec,3,3.86061429977417,44,19,3,3,0.3181818181818182,0.1325,1.0,1.0,1.0
sep_k3_d2,sep,17,800,2,3,CDK knn+2ec,3,3.805725336074829,36,17,3,3,0.3611111111111111,0.055,1.0,1.0,1.0
sep_k3_d2,sep,19,800,2,3,CDK knn+2ec,3,2.7923433780670166,36,17,3,3,0.3333333333333333,0.28846153846153844,1.0,1.0,1.0
sep_k3_d2,sep,18,800,2,3,CDK knn+2ec,3,4.182754993438721,34,15,3,5,0.47058823529411764,0.037500000000000006,1.0,1.0,1.0
sep_k3_d10,sep,1,800,10,3,CDK knn+2ec,3,3.3642611503601074,43,19,3,3,0.09302325581395349,0.8076923076923077,1.0,1.0,1.0
sep_k3_d10,sep,0,800,10,3,CDK knn+2ec,3,4.340169668197632,46,20,3,3,0.13043478260869565,0.5384615384615384,1.0,1.0,1.0
sep_k3_d10,sep,2,800,10,3,CDK knn+2ec,3,3.282325029373169,46,20,3,3,0.06521739130434782,0.75,1.0,1.0,1.0
sep_k3_d10,sep,3,800,10,3,CDK knn+2ec,3,3.761659622192383,39,18,3,3,0.1282051282051282,0.6923076923076923,1.0,1.0,1.0
sep_k3_d10,sep,4,800,10,3,CDK knn+2ec,3,2.8138327598571777,39,18,3,3,0.02564102564102564,0.8076923076923077,1.0,1.0,1.0
sep_k3_d10,sep,5,800,10,3,CDK knn+2ec,3,2.352252244949341,36,17,3,3,0.0,0.6923076923076923,1.0,1.0,1.0
sep_k3_d10,sep,6,800,10,3,CDK knn+2ec,3,2.4349617958068848,41,19,3,3,0.024390243902439025,0.7307692307692307,1.0,1.0,1.0
sep_k3_d10,sep,7,800,10,3,CDK knn+2ec,3,2.620112657546997,40,19,3,3,0.025,0.8076923076923077,1.0,1.0,1.0
