dataset,family,rep,n,d,true_k,method,k_hat,runtime,ARI,AMI,NMI
sep_k3_d2,sep,18,800,2,3,UniForCE,3,0.2835562229156494,1.0,1.0,1.0
sep_k3_d2,sep,19,800,2,3,UniForCE,3,0.29695963859558105,1.0,1.0,1.0
sep_k3_d10,sep,0,800,10,3,UniForCE,3,0.3281731605529785,1.0,1.0,1.0
sep_k3_d10,sep,1,800,10,3,UniForCE,3,0.29378223419189453,1.0,1.0,1.0
sep_k3_d10,sep,2,800,10,3,UniForCE,3,0.2764475345611572,1.0,1.0,1.0
sep_k3_d10,sep,3,800,10,3,UniForCE,3,0.29995298385620117,1.0,1.0,1.0
sep_k3_d10,sep,4,800,10,3,UniForCE,3,0.312908411026001,1.0,1.0,1.0
sep_k3_d10,sep,5,800,10,3,UniForCE,3,0.3337080478668213,1.0,1.0,1.0
sep_k3_d10,sep,6,800,10,3,UniForCE,3,0.3125436305999756,1.0,1.0,1.0
sep_k3_d10,sep,7,800,10,3,UniForCE,3,0.32747864723205566,1.0,1.0,1.0
sep_k3_d10,sep,8,800,10,3,UniForCE,3,0.305325984954834,1.0,1.0,1.0
sep_k3_d10,sep,9,800,10,3,UniForCE,3,0.2886991500854492,0.9962500118508789,0.9924899863753235,0.9925071335780611
sep_k3_d10,sep,10,800,10,3,UniForCE,3,0.29665064811706543,1.0,1.0,1.0
sep_k3_d10,sep,11,800,10,3,UniForCE,3,0.3191807270050049,1.0,1.0,1.0
sep_k3_d10,sep,12,800,10,3,UniForCE,3,0.35788512229919434,1.0,1.0,1.0
sep_k3_d10,sep,13,800,10,3,UniForCE,3,0.2961273193359375,1.0,1.0,1.0
sep_k3_d10,sep,14,800,10,3,UniForCE,3,0.2871067523956299,1.0,1.0,1.0
sep_k3_d10,sep,15,800,10,3,UniForCE,3,0.3094475269317627,1.0,1.0,1.0
sep_k3_d10,sep,16,800,10,3,UniForCE,3,0.34779906272888184,1.0,1.0,1.0
sep_k3_d10,sep,17,800,10,3,UniForCE,3,0.2798442840576172,1.0,1.0,1.0
sep_k3_d10,sep,18,800,10,3,UniForCE,3,0.3086996078491211,1.0,1.0,1.0
sep_k3_d10,sep,19,800,10,3,UniForCE,3,0.34984350204467773,1.0,1.0,1.0
sep_k3_d50,sep,0,800,50,3,UniForCE,3,0.16138267517089844,1.0,1.0,1.0
sep_k3_d50,sep,1,800,50,3,UniForCE,3,0.17033839225769043,1.0,1.0,1.0
sep_k3_d50,sep,2,800,50,3,UniForCE,3,0.14179253578186035,1.0,1.0,1.0
sep_k3_d50,sep,3,800,50,3,UniForCE,3,0.15430474281311035,1.0,1.0,1.0
sep_k3_d50,sep,4,800,50,3,UniForCE,3,0.1727759838104248,1.0,1.0,1.0
sep_k3_d50,sep,5,800,50,3,UniForCE,3,0.14637064933776855,1.0,1.0,1.0
sep_k3_d50,sep,6,800,50,3,UniForCE,3,0.18003559112548828,1.0,1.0,1.0
sep_k3_d50,sep,7,800,50,3,UniForCE,3,0.15977096557617188,1.0,1.0,1.0
sep_k3_d50,sep,8,800,50,3,UniForCE,3,0.1525428295135498,1.0,1.0,1.0
sep_k3_d50,sep,9,800,50,3,UniForCE,3,0.1519019603729248,1.0,1.0,1.0
sep_k3_d50,sep,10,800,50,3,UniForCE,3,0.15674781799316406,1.0,1.0,1.0
sep_k3_d50,sep,11,800,50,3,UniForCE,3,0.16020655632019043,1.0,1.0,1.0
sep_k3_d50,sep,12,800,50,3,UniForCE,3,0.15638089179992676,1.0,1.0,1.0
sep_k3_d50,sep,13,800,50,3,UniForCE,3,0.14912700653076172,1.0,1.0,1.0
sep_k3_d50,sep,14,800,50,3,UniForCE,3,0.1572859287261963,1.0,1.0,1.0
sep_k3_d50,sep,15,800,50,3,UniForCE,3,0.1402144432067871,1.0,1.0,1.0
sep_k3_d50,sep,16,800,50,3,UniForCE,3,0.1439211368560791,1.0,1.0,1.0
sep_k3_d50,sep,17,800,50,3,UniForCE,3,0.15446829795837402,1.0,1.0,1.0
sep_k3_d50,sep,18,800,50,3,UniForCE,3,0.15641283988952637,1.0,1.0,1.0
sep_k3_d50,sep,19,800,50,3,UniForCE,3,0.15848231315612793,1.0,1.0,1.0
sep_k5_d2,sep,0,800,2,5,UniForCE,5,0.2533719539642334,1.0,1.0,1.0
sep_k5_d2,sep,1,800,2,5,UniForCE,5,0.27469897270202637,1.0,1.0,1.0
sep_k5_d2,sep,2,800,2,5,UniForCE,5,0.26244282722473145,1.0,1.0,1.0
sep_k5_d2,sep,3,800,2,5,UniForCE,5,0.2618842124938965,1.0,1.0,1.0
sep_k5_d2,sep,4,800,2,5,UniForCE,5,0.271923303604126,1.0,1.0,1.0
sep_k5_d2,sep,5,800,2,5,UniForCE,5,0.2756481170654297,1.0,1.0,1.0
sep_k5_d2,sep,6,800,2,5,UniForCE,5,0.2521944046020508,1.0,1.0,1.0
sep_k5_d2,sep,7,800,2,5,UniForCE,5,0.2756767272949219,1.0,1.0,1.0
sep_k5_d2,sep,8,800,2,5,UniForCE,5,0.24845552444458008,1.0,1.0,1.0
sep_k5_d2,sep,9,800,2,5,UniForCE,5,0.262894868850708,1.0,1.0,1.0
sep_k5_d2,sep,10,800,2,5,UniForCE,5,0.27626585960388184,1.0,1.0,1.0
sep_k5_d2,sep,11,800,2,5,UniForCE,5,0.27823448181152344,1.0,1.0,1.0
sep_k5_d2,sep,12,800,2,5,UniForCE,5,0.2646949291229248,1.0,1.0,1.0
sep_k5_d2,sep,13,800,2,5,UniForCE,5,0.2810382843017578,1.0,1.0,1.0
sep_k5_d2,sep,14,800,2,5,UniForCE,5,0.2774698734283447,1.0,1.0,1.0
sep_k5_d2,sep,15,800,2,5,UniForCE,5,0.2761671543121338,1.0,1.0,1.0
sep_k5_d2,sep,16,800,2,5,UniForCE,5,0.29860925674438477,1.0,1.0,1.0
sep_k5_d2,sep,17,800,2,5,UniForCE,5,0.28183937072753906,1.0,1.0,1.0
sep_k5_d2,sep,18,800,2,5,UniForCE,5,0.2636287212371826,1.0,1.0,1.0
sep_k5_d2,sep,19,800,2,5,UniForCE,5,0.30503153800964355,1.0,1.0,1.0
sep_k5_d10,sep,0,800,10,5,UniForCE,5,0.283693790435791,1.0,1.0,1.0
sep_k5_d10,sep,1,800,10,5,UniForCE,5,0.3116896152496338,1.0,1.0,1.0
sep_k5_d10,sep,2,800,10,5,UniForCE,5,0.29250502586364746,1.0,1.0,1.0
sep_k5_d10,sep,3,800,10,5,UniForCE,5,0.28298044204711914,1.0,1.0,1.0
sep_k5_d10,sep,4,800,10,5,UniForCE,5,0.289583683013916,1.0,1.0,1.0
