dataset,family,rep,true_k,method,k_hat,ARI,runtime
sep_k5_d10,sep,7,5,CDK 2ec / no multiplicity corr.,5,1.0,4.797146081924439
sep_k5_d10,sep,7,5,CDK 2ec / n_min=15,5,1.0,2.913186550140381
sep_k5_d10,sep,7,5,CDK 2ec / n_min=40,5,1.0,4.90155553817749
sep_k5_d10,sep,8,5,CDK 2ec (default),5,0.990666659345908,4.515860557556152
sep_k5_d10,sep,8,5,CDK 2ec / Gaussian null,5,0.990666659345908,2.963599443435669
sep_k5_d10,sep,8,5,CDK 2ec / AD statistic,5,0.990666659345908,5.045690298080444
sep_k5_d10,sep,8,5,CDK 2ec / no multiplicity corr.,5,0.990666659345908,4.340130567550659
sep_k5_d10,sep,8,5,CDK 2ec / n_min=15,5,0.990666659345908,3.0065624713897705
sep_k5_d10,sep,8,5,CDK 2ec / n_min=40,5,0.990666659345908,4.498869180679321
sep_k5_d10,sep,9,5,CDK 2ec (default),5,0.9663573126730648,4.756466627120972
sep_k5_d10,sep,9,5,CDK 2ec / Gaussian null,5,0.9663573126730648,4.984761476516724
sep_k5_d10,sep,9,5,CDK 2ec / AD statistic,5,0.9663573126730648,6.702955484390259
sep_k5_d10,sep,9,5,CDK 2ec / no multiplicity corr.,5,0.9663573126730648,5.455081224441528
sep_k5_d10,sep,9,5,CDK 2ec / n_min=15,5,0.9663573126730648,4.214933633804321
sep_k5_d10,sep,9,5,CDK 2ec / n_min=40,5,0.9663573126730648,5.380734920501709
sep_k2_d2,sep,0,2,CDK 2ec (default),2,1.0,8.580996990203857
sep_k2_d2,sep,0,2,CDK 2ec / Gaussian null,2,1.0,12.99817705154419
sep_k2_d2,sep,0,2,CDK 2ec / AD statistic,2,1.0,9.340930938720703
sep_k2_d2,sep,0,2,CDK 2ec / no multiplicity corr.,2,1.0,8.743475914001465
sep_k2_d2,sep,0,2,CDK 2ec / n_min=15,2,1.0,13.006376266479492
sep_k2_d2,sep,0,2,CDK 2ec / n_min=40,2,1.0,5.054045915603638
sep_k2_d2,sep,1,2,CDK 2ec (default),2,1.0,8.82883620262146
sep_k2_d2,sep,1,2,CDK 2ec / Gaussian null,2,1.0,13.909129619598389
sep_k2_d2,sep,1,2,CDK 2ec / AD statistic,2,1.0,11.57319164276123
sep_k2_d2,sep,1,2,CDK 2ec / no multiplicity corr.,2,1.0,8.40993070602417
sep_k2_d2,sep,1,2,CDK 2ec / n_min=15,2,1.0,12.65533709526062
sep_k2_d2,sep,1,2,CDK 2ec / n_min=40,2,1.0,4.721509218215942
sep_k2_d2,sep,2,2,CDK 2ec (default),3,0.939144206126726,8.517889261245728
sep_k2_d2,sep,2,2,CDK 2ec / Gaussian null,2,1.0,13.77316188812256
sep_k2_d2,sep,2,2,CDK 2ec / AD statistic,2,1.0,10.716760635375977
sep_k2_d2,sep,2,2,CDK 2ec / no multiplicity corr.,3,0.939144206126726,9.442757606506348
sep_k2_d2,sep,2,2,CDK 2ec / n_min=15,2,1.0,13.835728168487549
sep_k2_d2,sep,2,2,CDK 2ec / n_min=40,2,1.0,5.337685108184815
sep_k2_d2,sep,3,2,CDK 2ec (default),2,1.0,7.769656658172607
sep_k2_d2,sep,3,2,CDK 2ec / Gaussian null,2,1.0,13.538457870483398
sep_k2_d2,sep,3,2,CDK 2ec / AD statistic,2,1.0,10.350448608398438
sep_k2_d2,sep,3,2,CDK 2ec / no multiplicity corr.,2,1.0,7.85761022567749
sep_k2_d2,sep,3,2,CDK 2ec / n_min=15,2,1.0,14.194215297698976
sep_k2_d2,sep,3,2,CDK 2ec / n_min=40,2,1.0,6.01538348197937
sep_k2_d2,sep,5,2,CDK 2ec (default),2,1.0,8.885375738143921
sep_k2_d2,sep,5,2,CDK 2ec / Gaussian null,2,1.0,13.1879301071167
sep_k2_d2,sep,5,2,CDK 2ec / AD statistic,2,1.0,12.02368187904358
sep_k2_d2,sep,5,2,CDK 2ec / no multiplicity corr.,2,1.0,8.282262325286865
sep_k2_d2,sep,5,2,CDK 2ec / n_min=15,2,1.0,12.303417444229126
sep_k2_d2,sep,5,2,CDK 2ec / n_min=40,2,1.0,5.508134603500366
sep_k2_d2,sep,4,2,CDK 2ec (default),2,1.0,12.185692071914673
sep_k2_d2,sep,4,2,CDK 2ec / Gaussian null,2,1.0,13.85385251045227
sep_k2_d2,sep,4,2,CDK 2ec / AD statistic,2,1.0,13.353166580200195
sep_k2_d2,sep,4,2,CDK 2ec / no multiplicity corr.,2,1.0,11.803608894348145
sep_k2_d2,sep,4,2,CDK 2ec / n_min=15,2,1.0,14.563133716583252
sep_k2_d2,sep,4,2,CDK 2ec / n_min=40,2,1.0,4.943965196609497
sep_k2_d2,sep,6,2,CDK 2ec (default),2,1.0,9.721179008483888
sep_k2_d2,sep,6,2,CDK 2ec / Gaussian null,2,1.0,12.647293329238892
sep_k2_d2,sep,6,2,CDK 2ec / AD statistic,2,1.0,10.738016843795776
sep_k2_d2,sep,6,2,CDK 2ec / no multiplicity corr.,2,1.0,9.685038089752195
sep_k2_d2,sep,6,2,CDK 2ec / n_min=15,2,1.0,12.07663345336914
sep_k2_d2,sep,6,2,CDK 2ec / n_min=40,2,1.0,5.672171592712402
sep_k2_d2,sep,7,2,CDK 2ec (default),2,1.0,9.707616567611694
sep_k2_d2,sep,7,2,CDK 2ec / Gaussian null,2,1.0,15.873018741607666
sep_k2_d2,sep,7,2,CDK 2ec / AD statistic,2,1.0,12.116196155548096
sep_k2_d2,sep,7,2,CDK 2ec / no multiplicity corr.,2,1.0,9.51387095451355
sep_k2_d2,sep,7,2,CDK 2ec / n_min=15,2,1.0,14.779818058013916
sep_k2_d2,sep,7,2,CDK 2ec / n_min=40,2,1.0,10.36558747291565
sep_k2_d2,sep,8,2,CDK 2ec (default),2,1.0,8.495845794677734
sep_k2_d2,sep,8,2,CDK 2ec / Gaussian null,2,1.0,24.44406723976136
sep_k2_d2,sep,8,2,CDK 2ec / AD statistic,2,1.0,21.34007287025452
sep_k2_d2,sep,8,2,CDK 2ec / no multiplicity corr.,2,1.0,17.146536588668823
sep_k2_d2,sep,8,2,CDK 2ec / n_min=15,2,1.0,25.79576563835144
sep_k2_d2,sep,8,2,CDK 2ec / n_min=40,2,1.0,10.206336498260498
sep_k2_d2,sep,9,2,CDK 2ec (default),2,1.0,16.65754532814026
sep_k2_d2,sep,9,2,CDK 2ec / Gaussian null,2,1.0,22.521366834640503
sep_k2_d2,sep,9,2,CDK 2ec / AD statistic,2,1.0,17.43756341934204
sep_k2_d2,sep,9,2,CDK 2ec / no multiplicity corr.,2,1.0,16.653312921524048
sep_k2_d2,sep,9,2,CDK 2ec / n_min=15,2,1.0,26.232717037200928
sep_k2_d2,sep,9,2,CDK 2ec / n_min=40,2,1.0,8.983255386352539
sep_k2_d10,sep,0,2,CDK 2ec (default),2,1.0,10.541568517684937
sep_k2_d10,sep,0,2,CDK 2ec / Gaussian null,2,1.0,7.236517429351807
sep_k2_d10,sep,0,2,CDK 2ec / AD statistic,2,1.0,10.277628898620604
sep_k2_d10,sep,0,2,CDK 2ec / no multiplicity corr.,2,1.0,11.151839971542358
sep_k2_d10,sep,0,2,CDK 2ec / n_min=15,2,1.0,11.385109901428224
sep_k2_d10,sep,0,2,CDK 2ec / n_min=40,2,1.0,11.295168161392212
sep_k2_d10,sep,1,2,CDK 2ec (default),2,1.0,13.197924375534058
sep_k2_d10,sep,1,2,CDK 2ec / Gaussian null,2,1.0,7.54273509979248
sep_k2_d10,sep,1,2,CDK 2ec / AD statistic,2,1.0,10.777655124664308
sep_k2_d10,sep,1,2,CDK 2ec / no multiplicity corr.,2,1.0,12.98809027671814
sep_k2_d10,sep,1,2,CDK 2ec / n_min=15,2,1.0,10.249491453170776
sep_k2_d10,sep,1,2,CDK 2ec / n_min=40,2,1.0,13.165688514709473
sep_k2_d10,sep,2,2,CDK 2ec (default),2,1.0,15.720250368118286
sep_k2_d10,sep,2,2,CDK 2ec / Gaussian null,2,1.0,13.509140014648438
sep_k2_d10,sep,2,2,CDK 2ec / AD statistic,2,1.0,11.213884592056274
sep_k2_d10,sep,2,2,CDK 2ec / no multiplicity corr.,2,1.0,16.348467111587524
sep_k2_d10,sep,2,2,CDK 2ec / n_min=15,2,1.0,15.472467422485352
sep_k2_d10,sep,2,2,CDK 2ec / n_min=40,2,1.0,12.208439588546751
sep_k2_d10,sep,3,2,CDK 2ec (default),2,1.0,13.06834840774536
sep_k2_d10,sep,3,2,CDK 2ec / Gaussian null,2,1.0,8.417901039123535
sep_k2_d10,sep,3,2,CDK 2ec / AD statistic,2,1.0,13.895155191421509
sep_k2_d10,sep,3,2,CDK 2ec / no multiplicity corr.,2,1.0,13.518345355987549
sep_k2_d10,sep,3,2,CDK 2ec / n_min=15,2,1.0,11.49386477470398
sep_k2_d10,sep,3,2,CDK 2ec / n_min=40,2,1.0,10.792122602462769
sep_k2_d10,sep,5,2,CDK 2ec (default),2,1.0,8.472615003585815
