dataset,family,rep,true_k,gamma,k_hat,ARI,sep_evidence,secs
null_aniso_d10,null,1,1,0.0,1,1.0,0.1891891891891892,3.1
null_aniso_d10,null,1,1,0.1,1,1.0,0.10810810810810811,3.0
null_aniso_d10,null,1,1,0.2,1,1.0,0.10810810810810811,2.6
null_aniso_d10,null,2,1,0.0,1,1.0,0.10526315789473684,3.4
null_aniso_d10,null,2,1,0.1,1,1.0,0.05263157894736842,3.3
null_aniso_d10,null,2,1,0.2,1,1.0,0.07894736842105263,3.3
sep_k5_d10,sep,0,5,0.0,5,0.9968691099886755,0.43478260869565216,5.7
sep_k5_d10,sep,0,5,0.1,5,0.9968691099886755,0.41304347826086957,5.2
sep_k5_d10,sep,0,5,0.2,5,0.9968691099886755,0.41304347826086957,5.5
sep_k5_d10,sep,1,5,0.0,5,0.9968691099886755,0.5227272727272727,5.3
sep_k5_d10,sep,1,5,0.1,5,0.9968691099886755,0.5227272727272727,5.7
sep_k5_d10,sep,1,5,0.2,5,0.9968691099886755,0.5227272727272727,5.8
sep_k5_d10,sep,2,5,0.0,5,0.9968691099886755,0.34782608695652173,4.4
sep_k5_d10,sep,2,5,0.1,5,0.9968691099886755,0.32608695652173914,3.9
sep_k5_d10,sep,2,5,0.2,5,0.9968691099886755,0.34782608695652173,4.0
sep_k20_d10,sep,0,20,0.0,20,0.9088436801594809,1.0,9.2
sep_k20_d10,sep,0,20,0.1,20,0.9088436801594809,1.0,10.3
sep_k20_d10,sep,0,20,0.2,20,0.9088436801594809,1.0,10.0
sep_k20_d10,sep,1,20,0.0,19,0.8431069759323546,1.0,9.8
sep_k20_d10,sep,1,20,0.1,19,0.8431069759323546,1.0,10.1
sep_k20_d10,sep,1,20,0.2,19,0.8431069759323546,1.0,9.9
sep_k20_d10,sep,2,20,0.0,20,0.8884165446827014,1.0,9.6
sep_k20_d10,sep,2,20,0.1,20,0.8884165446827014,1.0,9.9
sep_k20_d10,sep,2,20,0.2,20,0.8884165446827014,1.0,10.1
overlap_s4.0,overlap,0,5,0.0,5,0.8043797937712228,0.4883720930232558,4.5
overlap_s4.0,overlap,0,5,0.1,5,0.8043797937712228,0.4883720930232558,4.6
overlap_s4.0,overlap,0,5,0.2,5,0.8043797937712228,0.4883720930232558,4.1
overlap_s4.0,overlap,1,5,0.0,5,0.885279472123872,0.5333333333333333,4.0
overlap_s4.0,overlap,1,5,0.1,5,0.885279472123872,0.4666666666666667,4.1
overlap_s4.0,overlap,1,5,0.2,4,0.7044058343253627,0.4444444444444444,4.0
overlap_s4.0,overlap,2,5,0.0,5,0.8875472222959921,0.41304347826086957,3.5
overlap_s4.0,overlap,2,5,0.1,5,0.8875472222959921,0.3695652173913043,3.8
overlap_s4.0,overlap,2,5,0.2,4,0.6997321613537314,0.34782608695652173,3.3
unbal_r20,unbalanced,0,5,0.0,5,0.9861928474741584,0.5641025641025641,4.2
unbal_r20,unbalanced,0,5,0.1,5,0.9861928474741584,0.48717948717948717,5.0
unbal_r20,unbalanced,0,5,0.2,4,0.9178721919612789,0.41025641025641024,4.0
unbal_r20,unbalanced,1,5,0.0,4,0.9829385199576768,0.5135135135135135,4.0
unbal_r20,unbalanced,1,5,0.1,4,0.9829385199576768,0.43243243243243246,3.5
unbal_r20,unbalanced,1,5,0.2,4,0.9829385199576768,0.4594594594594595,3.6
unbal_r20,unbalanced,2,5,0.0,4,0.9821551585060867,0.43137254901960786,4.7
unbal_r20,unbalanced,2,5,0.1,4,0.9821551585060867,0.35294117647058826,5.5
unbal_r20,unbalanced,2,5,0.2,4,0.9821551585060867,0.3137254901960784,4.7
elong_c5,elongated,0,4,0.0,4,0.5145760592781377,0.7,6.4
elong_c5,elongated,0,4,0.1,3,0.4833586390028692,0.66,7.6
elong_c5,elongated,0,4,0.2,3,0.4833586390028692,0.68,6.0
elong_c5,elongated,1,4,0.0,11,0.4855003697016381,0.851063829787234,6.4
elong_c5,elongated,1,4,0.1,8,0.6003499137952956,0.7872340425531915,6.7
elong_c5,elongated,1,4,0.2,6,0.4979658223058044,0.7446808510638298,6.0
elong_c5,elongated,2,4,0.0,6,0.5370479442825732,0.6666666666666666,5.0
elong_c5,elongated,2,4,0.1,4,0.33148043196049715,0.6444444444444445,5.8
elong_c5,elongated,2,4,0.2,4,0.19991399550693384,0.6222222222222222,5.5
