dataset,family,rep,true_k,method,k_hat,ARI,n_tests,sep_evidence,runtime
uvar_r3,unequal_var,0,4,CDK repaired R1999,4,0.9769414116552734,40,0.225,68.03675317764282
unbal_r100,unbalanced,4,5,CDK repaired R1999,4,0.9275284136430926,65,0.3384615384615385,150.43716144561768
uvar_r3,unequal_var,1,4,CDK repaired R1999,4,0.9834813714326988,41,0.21951219512195122,64.15248584747314
uvar_r3,unequal_var,2,4,CDK repaired R1999,4,0.9153699636034507,29,0.5172413793103449,81.8674213886261
uvar_r3,unequal_var,3,4,CDK repaired R1999,4,0.9575882841441937,37,0.35135135135135137,65.51456236839294
uvar_r3,unequal_var,4,4,CDK repaired R1999,4,0.9539051178488012,34,0.2647058823529412,77.30252432823181
uvar_r10,unequal_var,0,4,CDK repaired R1999,3,0.6361725227981844,35,0.2857142857142857,86.10154891014099
uvar_r10,unequal_var,1,4,CDK repaired R1999,3,0.6139949714729505,41,0.2682926829268293,102.55078840255737
uvar_r10,unequal_var,2,4,CDK repaired R1999,2,0.31484211036112647,34,0.35294117647058826,95.25228333473206
uvar_r10,unequal_var,3,4,CDK repaired R1999,2,0.3069637873556881,35,0.11428571428571428,81.37384819984436
uvar_r10,unequal_var,4,4,CDK repaired R1999,2,0.31197858449919497,26,0.4230769230769231,95.17251586914062
elong_c5,elongated,0,4,CDK repaired R1999,2,0.46783930249458655,50,0.6,136.2614734172821
elong_c5,elongated,1,4,CDK repaired R1999,3,0.3194801210127548,47,0.6382978723404256,140.44384908676147
elong_c5,elongated,2,4,CDK repaired R1999,2,0.24651862979389777,45,0.4666666666666667,121.51474618911743
elong_c5,elongated,3,4,CDK repaired R1999,2,0.27752172767974714,48,0.5625,120.7320613861084
elong_c5,elongated,4,4,CDK repaired R1999,3,0.4331057495185261,44,0.5681818181818182,109.92709612846375
elong_c20,elongated,0,4,CDK repaired R1999,1,0.0,54,0.2037037037037037,137.09587574005127
elong_c20,elongated,1,4,CDK repaired R1999,1,0.0,48,0.3958333333333333,130.19377374649048
elong_c20,elongated,2,4,CDK repaired R1999,1,0.0,47,0.2978723404255319,119.35073900222778
elong_c20,elongated,3,4,CDK repaired R1999,1,0.0,52,0.38461538461538464,151.2156035900116
elong_c20,elongated,4,4,CDK repaired R1999,2,0.005260880759382648,43,0.3953488372093023,128.68321871757507
nongauss_t3,nongauss,0,5,CDK repaired R1999,5,0.9906666593459081,25,0.72,79.43572115898132
nongauss_t3,nongauss,1,5,CDK repaired R1999,5,0.9844438807915686,38,0.39473684210526316,70.20055341720581
nongauss_t3,nongauss,2,5,CDK repaired R1999,5,0.9844145291180962,27,0.7037037037037037,86.61120963096619
nongauss_t3,nongauss,3,5,CDK repaired R1999,5,0.9968691099886755,35,0.6857142857142857,88.8746726512909
nongauss_t3,nongauss,4,5,CDK repaired R1999,5,0.9968691099886755,38,0.5789473684210527,87.77856945991516
nongauss_uniform,nongauss,0,5,CDK repaired R1999,5,1.0,46,0.43478260869565216,94.8166823387146
nongauss_uniform,nongauss,1,5,CDK repaired R1999,5,1.0,47,0.46808510638297873,103.87105870246887
nongauss_uniform,nongauss,2,5,CDK repaired R1999,5,1.0,47,0.48936170212765956,93.39959454536438
nongauss_uniform,nongauss,3,5,CDK repaired R1999,5,0.9551570868253528,42,0.5238095238095238,115.15595507621765
nongauss_uniform,nongauss,4,5,CDK repaired R1999,5,1.0,46,0.4782608695652174,108.20762944221497
nongauss_mixed,nongauss,0,5,CDK repaired R1999,5,0.9968691099886755,40,0.525,95.13260960578918
nongauss_mixed,nongauss,1,5,CDK repaired R1999,5,0.972461845853068,38,0.4473684210526316,89.52940154075623
nongauss_mixed,nongauss,2,5,CDK repaired R1999,5,0.9906271808867675,37,0.5405405405405406,81.5630111694336
nongauss_mixed,nongauss,3,5,CDK repaired R1999,5,0.9937579600246279,45,0.35555555555555557,79.77536916732788
nongauss_mixed,nongauss,4,5,CDK repaired R1999,5,0.9725416274279405,38,0.39473684210526316,76.15266394615173
nongauss_skew,nongauss,0,5,CDK repaired R1999,5,0.9844647950001386,30,0.6333333333333333,110.28188180923462
nongauss_skew,nongauss,1,5,CDK repaired R1999,5,1.0,33,0.48484848484848486,100.71111750602722
nongauss_skew,nongauss,2,5,CDK repaired R1999,4,0.7741412647432184,41,0.43902439024390244,109.51813101768494
nongauss_skew,nongauss,3,5,CDK repaired R1999,5,0.9937579600246279,41,0.4878048780487805,102.27398824691772
