dataset,family,rep,n,d,true_k,method,k_hat,runtime,n_tests,k_init,sep_evidence,p_median,ARI,AMI,NMI
sep_k3_d50,sep,5,800,50,3,CDK repaired,3,9.453569173812866,49,21,0.0,1.0,1.0,1.0,1.0
sep_k3_d50,sep,6,800,50,3,CDK repaired,3,11.66024923324585,34,14,0.20588235294117646,1.0,1.0,1.0,1.0
sep_k3_d50,sep,7,800,50,3,CDK repaired,3,8.818304061889648,34,14,0.23529411764705882,1.0,1.0,1.0,1.0
sep_k3_d50,sep,8,800,50,3,CDK repaired,3,4.489527225494385,33,16,0.0,1.0,1.0,1.0,1.0
sep_k3_d50,sep,10,800,50,3,CDK repaired,3,4.402011156082153,37,17,0.0,1.0,1.0,1.0,1.0
sep_k3_d50,sep,9,800,50,3,CDK repaired,3,9.988004922866821,37,15,0.16216216216216217,0.9615384615384616,1.0,1.0,1.0
sep_k3_d50,sep,12,800,50,3,CDK repaired,3,6.465102195739746,42,17,0.11904761904761904,1.0,1.0,1.0,1.0
sep_k3_d50,sep,11,800,50,3,CDK repaired,3,8.919925212860107,37,15,0.16216216216216217,1.0,1.0,1.0,1.0
sep_k3_d50,sep,14,800,50,3,CDK repaired,3,5.702670097351074,37,16,0.10810810810810811,1.0,1.0,1.0,1.0
sep_k3_d50,sep,15,800,50,3,CDK repaired,3,4.946641445159912,41,18,0.0,1.0,1.0,1.0,1.0
sep_k3_d50,sep,13,800,50,3,CDK repaired,3,14.577580451965332,23,10,0.4782608695652174,0.9615384615384616,1.0,1.0,1.0
sep_k3_d50,sep,16,800,50,3,CDK repaired,3,4.610285997390747,38,17,0.0,1.0,1.0,1.0,1.0
sep_k3_d50,sep,18,800,50,3,CDK repaired,3,4.990481853485107,40,18,0.0,1.0,1.0,1.0,1.0
sep_k3_d50,sep,19,800,50,3,CDK repaired,3,4.077254772186279,43,19,0.0,1.0,0.992514192108457,0.9865608248555884,0.9865915100544773
sep_k3_d50,sep,17,800,50,3,CDK repaired,3,10.609036684036255,30,13,0.26666666666666666,0.9807692307692308,1.0,1.0,1.0
sep_k5_d2,sep,0,800,2,5,CDK repaired,5,7.813482999801636,40,17,0.45,0.0475,0.981463313194489,0.9778120282951852,0.9779509584621134
sep_k5_d2,sep,1,800,2,5,CDK repaired,5,7.704855442047119,38,16,0.4473684210526316,0.03,0.9785020843697608,0.9774081107654076,0.9775495765461263
sep_k5_d2,sep,2,800,2,5,CDK repaired,5,7.781837224960327,41,17,0.4878048780487805,0.02,1.0,1.0,1.0
sep_k5_d2,sep,3,800,2,5,CDK repaired,5,7.8902740478515625,41,17,0.4634146341463415,0.015,0.9439888565124597,0.9535035360357291,0.9537949207327177
sep_k5_d2,sep,4,800,2,5,CDK repaired,5,6.352765798568726,41,17,0.5121951219512195,0.005,0.9814335452659734,0.9769473183246515,0.9770916617948454
sep_k5_d2,sep,5,800,2,5,CDK repaired,5,7.318495750427246,47,20,0.44680851063829785,0.04,0.9968691099886755,0.9952518682725184,0.9952815964482751
sep_k5_d2,sep,6,800,2,5,CDK repaired,5,6.713730335235596,37,16,0.4864864864864865,0.035,0.9754419259620173,0.9726764159108316,0.9728475141848425
sep_k5_d2,sep,7,800,2,5,CDK repaired,5,8.1290864944458,42,17,0.5238095238095238,0.005,0.9845044162845311,0.9806025317275346,0.98072398601518
sep_k5_d2,sep,8,800,2,5,CDK repaired,5,7.261921644210815,39,16,0.5128205128205128,0.005,0.9725416274279405,0.972720590339078,0.9728914224124162
sep_k5_d2,sep,9,800,2,5,CDK repaired,5,7.794615030288696,46,20,0.43478260869565216,0.055,1.0,1.0,1.0
sep_k5_d2,sep,10,800,2,5,CDK repaired,5,7.340191125869751,39,16,0.48717948717948717,0.02,0.9666634632932005,0.9683831935991778,0.9685812080867381
sep_k5_d2,sep,11,800,2,5,CDK repaired,5,7.528804302215576,39,16,0.5128205128205128,0.005,0.95776093899856,0.9579674143464034,0.9582306975692456
sep_k5_d2,sep,12,800,2,5,CDK repaired,5,6.6117284297943115,44,19,0.4090909090909091,0.08,0.9968691099886755,0.9952518682725183,0.995281596448275
sep_k5_d2,sep,13,800,2,5,CDK repaired,5,6.439659595489502,41,17,0.4878048780487805,0.105,0.9845044162845311,0.9806025317275346,0.98072398601518
sep_k5_d2,sep,14,800,2,5,CDK repaired,5,7.007813453674316,39,16,0.48717948717948717,0.03,0.9875656538910945,0.9835904399933479,0.9836931838387913
sep_k5_d2,sep,15,800,2,5,CDK repaired,5,8.77001404762268,35,13,0.6,0.005,0.9783613943088488,0.9722141073052825,0.9723880853194892
sep_k5_d2,sep,16,800,2,5,CDK repaired,5,6.936778545379639,45,19,0.4,0.07,0.9875656538910945,0.9835904399933479,0.9836931838387913
sep_k5_d2,sep,17,800,2,5,CDK repaired,5,7.07630729675293,36,15,0.5,0.01,0.9302780139572704,0.9424532845490241,0.9428140996269602
sep_k5_d2,sep,18,800,2,5,CDK repaired,5,7.120487928390503,43,18,0.4418604651162791,0.07,1.0,1.0,1.0
sep_k5_d2,sep,19,800,2,5,CDK repaired,5,8.44788646697998,34,14,0.47058823529411764,0.0225,0.9783828090746228,0.9737009594749088,0.9738656337408039
sep_k5_d10,sep,0,800,10,5,CDK repaired,5,7.286450624465942,46,19,0.41304347826086957,0.1621153846153846,0.9968691099886755,0.9952518682725183,0.995281596448275
sep_k5_d10,sep,2,800,10,5,CDK repaired,5,6.050849199295044,46,20,0.32608695652173914,0.4230769230769231,0.9968691099886755,0.9952518682725183,0.995281596448275
sep_k5_d10,sep,1,800,10,5,CDK repaired,5,8.369617938995361,44,17,0.5227272727272727,0.005,0.9968691099886755,0.9952518682725183,0.995281596448275
sep_k5_d10,sep,3,800,10,5,CDK repaired,5,7.397465705871582,46,18,0.43478260869565216,0.38461538461538464,0.9691923778047782,0.9588448709633653,0.9591025469291182
sep_k5_d10,sep,4,800,10,5,CDK repaired,5,8.738518476486206,45,18,0.4444444444444444,0.3076923076923077,0.9968691099886755,0.9952518682725183,0.995281596448275
sep_k5_d10,sep,5,800,10,5,CDK repaired,5,7.241994380950928,48,20,0.375,0.40384615384615385,0.9937579600246279,0.9915871831020886,0.9916398563708724
sep_k5_d10,sep,6,800,10,5,CDK repaired,5,6.396318674087524,49,21,0.30612244897959184,0.5769230769230769,0.9874866982641379,0.9820882917734481,0.9822004391620147
sep_k5_d10,sep,7,800,10,5,CDK repaired,5,8.230255126953125,46,19,0.391304347826087,0.125,1.0,1.0,1.0
sep_k5_d10,sep,8,800,10,5,CDK repaired,5,8.086086511611938,49,22,0.24489795918367346,0.3076923076923077,0.9906666593459081,0.9883314061298462,0.9884044649935745
sep_k5_d10,sep,9,800,10,5,CDK repaired,5,8.476804971694946,40,16,0.45,0.085,0.9663573126730648,0.960444945595832,0.9606926392468654
sep_k5_d10,sep,10,800,10,5,CDK repaired,5,6.851898431777954,50,22,0.28,0.7307692307692308,0.9906271808867675,0.9868389844155382,0.9869213867182499
sep_k5_d10,sep,11,800,10,5,CDK repaired,5,6.0094521045684814,47,19,0.40425531914893614,0.5769230769230769,0.9937480346795808,0.9905061789482672,0.9905656200078304
sep_k5_d10,sep,12,800,10,5,CDK repaired,5,9.645220518112183,39,15,0.5384615384615384,0.005,0.9814136993941059,0.9777998574287763,0.9779388619877611
sep_k5_d10,sep,13,800,10,5,CDK repaired,5,7.943187236785889,41,17,0.5121951219512195,0.005,0.990646920349587,0.986843850651261,0.9869262229118854
sep_k5_d10,sep,14,800,10,5,CDK repaired,5,8.119543552398682,40,17,0.475,0.1225,0.9968691099886755,0.9952518682725183,0.995281596448275
sep_k5_d10,sep,15,800,10,5,CDK repaired,5,6.850496053695679,49,20,0.3673469387755102,0.6538461538461539,0.975267096514509,0.965733297546151,0.9659478428067834
sep_k5_d10,sep,16,800,10,5,CDK repaired,5,7.883926630020142,48,20,0.3958333333333333,0.3269230769230769,0.9937579600246279,0.9915871831020887,0.9916398563708725
sep_k5_d10,sep,17,800,10,5,CDK repaired,5,7.351758003234863,47,19,0.425531914893617,0.2549019607843137,1.0,1.0,1.0
sep_k5_d10,sep,18,800,10,5,CDK repaired,5,7.182861804962158,39,16,0.4358974358974359,0.46153846153846156,0.9844831391365741,0.9788548232979921,0.9789872144721318
sep_k5_d10,sep,19,800,10,5,CDK repaired,5,7.383295059204102,49,21,0.30612244897959184,0.6153846153846154,0.9968691099886755,0.9952518682725183,0.995281596448275
sep_k5_d50,sep,0,800,50,5,CDK repaired,5,15.373521089553833,43,17,0.5116279069767442,0.005,0.9844251718430678,0.9799182901852591,0.980044026150531
sep_k5_d50,sep,1,800,50,5,CDK repaired,5,14.74967908859253,42,17,0.47619047619047616,0.7692307692307693,1.0,1.0,1.0
sep_k5_d50,sep,3,800,50,5,CDK repaired,5,14.189092874526978,45,18,0.4444444444444444,0.9230769230769231,1.0,1.0,1.0
sep_k5_d50,sep,2,800,50,5,CDK repaired,5,15.879735469818115,39,16,0.5128205128205128,0.005,0.9968691099886755,0.9952518682725183,0.995281596448275
