dataset,family,rep,n,d,true_k,method,k_hat,runtime,ARI,AMI,NMI,conf_lo,conf_hi,n_tests,k_init,sep_evidence,p_median,abs_err,signed_err,exact
sep_k2_d2,sep,4,800,2,2,Elbow (Kneedle),6,0.0976555347442627,0.3347020211223037,0.5576760278204558,0.5587953260141736,,,,,,,4,4,0.0
sep_k2_d2,sep,4,800,2,2,Jump statistic,2,0.08450460433959961,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,4,800,2,2,Gap statistic,2,0.3193845748901367,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,4,800,2,2,X-means,2,0.00783395767211914,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,4,800,2,2,G-means,2,0.0071032047271728516,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,4,800,2,2,dip-means,2,0.033126115798950195,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,4,800,2,2,ISODATA,7,0.016582727432250977,0.2924893452101734,0.5268812518031999,0.5282404020186383,,,,,,,5,5,0.0
sep_k2_d2,sep,4,800,2,2,MDL split/merge,2,0.0052642822265625,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,4,800,2,2,GMM+BIC,2,0.14709258079528809,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,4,800,2,2,GMM+ICL,2,0.15105533599853516,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,4,800,2,2,HDBSCAN,2,0.004424571990966797,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,4,800,2,2,Bisecting+Sil.,2,0.10564160346984863,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,5,800,2,2,ORACLE k-means(k*),2,0.003186464309692383,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,5,800,2,2,CDK (proposed),2,3.64571213722229,1.0,1.0,1.0,2.0,2.0,47.0,19.0,0.425531914893617,0.055,0,0,1.0
sep_k2_d2,sep,5,800,2,2,Silhouette,2,0.176774263381958,1.0,1.0,1.0,,,,,,,0,0,1.0
