dataset,family,rep,n,d,true_k,method,k_hat,runtime,ARI,AMI,NMI,conf_lo,conf_hi,n_tests,k_init,sep_evidence,p_median,abs_err,signed_err,exact
sep_k2_d2,sep,2,800,2,2,HDBSCAN,2,0.00451350212097168,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,2,800,2,2,Bisecting+Sil.,2,0.11338949203491211,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,3,800,2,2,ORACLE k-means(k*),2,0.0026679039001464844,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,3,800,2,2,CDK (proposed),2,2.641641855239868,1.0,1.0,1.0,2.0,2.0,41.0,17.0,0.36585365853658536,0.135,0,0,1.0
sep_k2_d2,sep,3,800,2,2,CDK / Gaussian null,2,4.966546058654785,1.0,1.0,1.0,2.0,4.0,41.0,17.0,0.43902439024390244,0.015,0,0,1.0
sep_k2_d2,sep,3,800,2,2,CDK / AD statistic,2,4.516767263412476,1.0,1.0,1.0,2.0,2.0,41.0,17.0,0.2926829268292683,0.25925925925925924,0,0,1.0
sep_k2_d2,sep,3,800,2,2,CDK / no multiplicity corr.,2,2.7523601055145264,1.0,1.0,1.0,2.0,4.0,41.0,17.0,0.43902439024390244,0.135,0,0,1.0
sep_k2_d2,sep,3,800,2,2,CDK / n_min=15,2,4.772673845291138,1.0,1.0,1.0,2.0,3.0,88.0,34.0,0.25,0.14750000000000002,0,0,1.0
sep_k2_d2,sep,3,800,2,2,CDK / n_min=40,2,2.0504724979400635,1.0,1.0,1.0,2.0,2.0,23.0,10.0,0.4782608695652174,0.015,0,0,1.0
sep_k2_d2,sep,3,800,2,2,Silhouette,2,0.14177227020263672,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,3,800,2,2,Calinski-Har.,2,0.08489441871643066,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,3,800,2,2,Davies-Bouldin,2,0.09815549850463867,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,3,800,2,2,Elbow (Kneedle),6,0.08692073822021484,0.33434473027073436,0.5575916350629175,0.5587109772315856,,,,,,,4,4,0.0
sep_k2_d2,sep,3,800,2,2,Jump statistic,2,0.08262133598327637,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,3,800,2,2,Gap statistic,2,0.324770450592041,1.0,1.0,1.0,,,,,,,0,0,1.0
